Date,Time,CHANNEL,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,LN1,LN2,LN3,LN4,LN5,LN6,LN7,LN8,LN9,CS1,CS2,CS3,CS4,CS5,CS6,INSTRUMENT,FILENAME,SITE,LOCATION,HEADINGS,STARTREC ,STOPREC,BATTERY, SENSORS,UNITS,INTERVAL,PEAKINT,SPDBINS,LENBINS
010817,0045,4,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,"0000
",0000,0000,0000,0000,0000,0000,0000,0000,"0000
",0000,0000,0000,0000,0000,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0100,1,0000,0000,0000,0000,0002,0003,0005,0006,0003,0002,0001,0001,0000,"0000
",0000,0016,0000,0000,0006,0001,0000,0000,"0000
",0000,0016,0001,0005,0001,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0100,2,0000,0000,0000,0000,0000,0000,0001,0001,0000,0000,0001,0000,0000,"0000
",0000,0002,0001,0000,0000,0000,0000,0000,"0000
",0000,0003,0000,0000,0000,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0100,3,0000,0000,0000,0000,0002,0000,0000,0003,0006,0003,0000,0000,0000,"0000
",0000,0012,0001,0000,0000,0001,0000,0000,"0000
",0000,0013,0000,0000,0001,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0100,4,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,"0000
",0000,0000,0000,0000,0000,0000,0000,0000,"0000
",0000,0000,0000,0000,0000,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0115,1,0000,0000,0000,0000,0009,0001,0004,0003,0004,0003,0001,0000,0000,"0000
",0000,0012,0000,0002,0003,0008,0000,0000,"0000
",0000,0012,0001,0005,0007,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0115,2,0000,0000,0000,0000,0000,0000,0000,0001,0002,0003,0002,0001,0000,"0000
",0000,0007,0001,0000,0001,0000,0000,0000,"0000
",0000,0008,0000,0001,0000,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0115,3,0000,0000,0000,0000,0001,0002,0001,0005,0002,0001,0002,0000,0001,"0000
",0000,0007,0003,0000,0004,0001,0000,0000,"0000
",0000,0010,0001,0003,0001,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0115,4,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,"0000
",0000,0000,0000,0000,0000,0000,0000,0000,"0000
",0000,0000,0000,0000,0000,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
010817,0130,1,0000,0000,0000,0001,0002,0002,0002,0001,0003,0003,0002,0000,0001,"0000
",0000,0008,0002,0000,0004,0003,0000,0000,"0000
",0000,0010,0001,0003,0003,"0000
",M660 Serial = 402913 Release = 2.8,SC2_MEJA,TATRY,D1 Mengusovce,KE KE BA BA    ,00:00 01/08/17,00:00 02/08/17,7.00 7.00,LL LL LL LL NONE NONE NONE NONE,Metric,15,5,0 50 60 70 80 90 100 110 120 130 140 150 160 180 999,0 300 470 550 600 1300 1800 2550 3600 9999
